B02-001	SUPPORTS	gotenberg.go:31 builds the POST to gotenbergURL+/forms/libreoffice/convert — the plain-HTTP consumption site the banner names (URL read at app main.go:261)
B02-002	SUPPORTS	compose:59 is JUDGE0_BASE_URL=http://52.48.139.23:2358 inside backend's environment block, exactly the direct-Judge0 edge asserted
B02-003	SUPPORTS	main.go:325 is pubsub.NewPublisher(serviceName, redisClientStream) and :230-232 defaults serviceName to "backend"; the app clone IS ad9f3c49, the ref the bullet names
B02-004	SUPPORTS	subscriber_wiring.go:248 is subs[d.Streams.Backend] = backendSelfSub — the self-stream subscriber registration claimed
B02-005	SUPPORTS	cms/terraform/main.tf:39 is service_desired_count = 0 inside a still-declared module "cms" (:30); clone ca50c817 shows exactly the asserted shape
B02-006	UNRESOLVABLE	jobsimulation clone is 462343b0, not post-6092c6d2: :15-22 is the atlas_migration data block and module "jobsimulation" is still declared at :31-49, so the deletion claim cannot be decided here
B02-007	UNRESOLVABLE	pin is @ app b948604; tree is ad9f3c49 where the mux handlers are at :1306-1338 and :1185-1228 is cms manager/worker wiring
B02-008	SUPPORTS	app/CLAUDE.md:109 does list SkillPathSessionService in its RPC-mux sentence — precisely the stale-own-docs claim
B02-009	SUPPORTS	app/knowledge/architecture.md:28 RPC row lists SkillPathSessionService, as the unit says
B02-010	UNRESOLVABLE	pin is @ app b948604; at the tree ref ad9f3c49 the `if labsAPIURL := os.Getenv("LABS_API_URL")` guard is at :854 and :743-746 is the skillpath publisher
B02-011	SUPPORTS	service-dependencies.md:52 carries the literal http://backend.internal.anthropos:8081 in the past-tense sentence under "no external callers of app's RPC mux left"; app clone IS ad9f3c49
B02-012	SUPPORTS	test_platform_predicate_guard.py:435 contains the literal in a test fixture body; the rosetta-extensions clone HEAD is exactly the pinned 09d06070
B02-013	SUPPORTS	app/terraform/locals.tf:6 is project = "backend" at the tree ref ad9f3c49, which the unit explicitly claims is unchanged
B02-014	UNRESOLVABLE	pin is @ b948604f; at ad9f3c49 service_discovery_namespace_id sits at app/terraform/main.tf:195 and :58 is an unrelated sentinel-DSN comment
B02-015	SUPPORTS	messenger clone IS fa47850d; variables.tf:77-80 declares cms_rpc_address with type+description and no default (siblings at :82/:87/:92 as listed)
B02-016	UNRESOLVABLE	pin is @ b948604f; the unit itself discloses the move and at ad9f3c49 cms_rpc_address is at :309 while :197 is an unrelated DSN comment
B02-017	UNRESOLVABLE	pin is @ b948604f; at ad9f3c49 main.go:1276 is an argument in a constructor list, not the skiller AddSubscriber call
B02-018	SUPPORTS	subscriber_wiring.go:209 is subs[d.Streams.Skiller] = d.Skiller.SkillerSubscriber() — the map-built registration claimed for ad9f3c49
B02-019	SUPPORTS	main.go:1579-1581 is the single `for stream, sub := range streamSubscribers { subServer.AddSubscriber(stream, sub) }` loop
B02-020	SUPPORTS	compose:110 is `profiles: [core, backend, all]` and closes the backend service block (28-110); studio-desk starts at :112
B02-021	UNRESOLVABLE	pin is @ app b948604; the LABS_API_URL conditional is at main.go:854 at the tree ref ad9f3c49, so :743-746 cannot be graded here
