B12-001	SUPPORTS	studio-desk.md:20 reads "TypeScript, Vite, Express.js (vanilla TS frontend, no framework)" — the quoted contradiction of "React" is verbatim at the cited line.
B12-002	SUPPORTS	server.js:14 is `const endpoint = process.env.NEXT_PUBLIC_WUNDERGRAPH_ENDPOINT`; the co-cited :18 is the `throw new Error('NEXT_PUBLIC_WUNDERGRAPH_ENDPOINT is not set')`, so the compound citation lands its subject.
B12-003	SUPPORTS	backendContent.js:36 imports createServerGraphQLClient in the module whose header (:9-10, :26-32) states "the backend is the sole published-content source" and "M7 removed the FS-as-published fallback"; the actual catalog reads are the co-cited :102-103.
B12-004	SUPPORTS	serverTenant.js:145 resolves the catalog from `await getBackendCatalogView(eids)` first and falls to an empty view otherwise — DB-authoritative as asserted.
B12-005	SUPPORTS	beacon/route.js:36 reads the platform GraphQL endpoint the beacon re-issues writes to; the named UPSERT_CHAPTER_PROGRESS/SET_LAST_ACTIVITY mutations are in the co-cited OPS map at :41-55.
B12-006	SUPPORTS	The quoted words are verbatim in the cited range ("there is NO FS-as-published fallback" :128-129; "not reversible-on-error" :131-132); the env-gated FS branch visible at :145 in this clone is exactly the demo-patch demo-stack/patches/academy-fs-published-fallback the unit itself names as not-shipped.
B12-007	SUPPORTS	next-scaffold.test.js:106 is the test 'v0.5 M1: build is plain "next build" — no serwist SW step', a regression fence on the removal as claimed.
B12-008	SUPPORTS	react-compiler-config.test.js:41 asserts `expect(src).not.toMatch(/from '@serwist\/next'/)` — a regression fence on the Serwist removal.
B12-009	SUPPORTS	graphql-wundergraph/terraform/main.tf:20 is `service_desired_count = 1`, backing "the router as it still exists in production ... `= 1`".
B12-010	SUPPORTS	graphql-wundergraph/terraform/locals.tf:8 is exactly `port = 8080`; the census resolved this to app/terraform/locals.tf, but the corpus site is the router's Port row and the router repo's file matches verbatim.
B12-011	SUPPORTS	graphql-wundergraph/terraform/main.tf:48-49 are `"containerPort": ${local.port}` / `"hostPort": ${local.port}` with local.port=8080 — container 8080 to host 8080; census mis-resolved to app/terraform/main.tf.
B12-012	SUPPORTS	graphql-wundergraph/config.prod.yaml:5 is `listen_addr: 0.0.0.0:8080` as quoted.
B12-013	SUPPORTS	docker-compose.yml:48 is `AUTHORIZATION_ADDRESS=http://sentinel:8087` inside the backend service block; grep confirms zero `_RPC_ADDR` in the compose file at 0c91421.
B12-014	SUPPORTS	docker-compose.yml:57 is `GOTENBERG_URL=http://gotenberg:3200` in backend's environment, a plain-HTTP edge as asserted.
B12-015	SUPPORTS	docker-compose.yml:183 is `profiles: [core, backend, all]` on the gotenberg service block that opens at :170 — gotenberg is in the default core profile.
B12-016	SUPPORTS	gotenberg.go:31 is `http.NewRequestWithContext(ctx, "POST", gotenbergURL+"/forms/libreoffice/convert", &body)` — a plain HTTP call, and the tree is at the pinned app ad9f3c49.
B12-017	SUPPORTS	docker-compose.yml:59 is `JUDGE0_BASE_URL=http://52.48.139.23:2358` in backend's environment as asserted.
B12-018	SUPPORTS	app/go.mod:15 is `github.com/anthropos-work/colony v0.35.2` and the app clone is at the pinned ad9f3c49.
