# TIER 2 — every factual assertion in the clause-5 surface that carries NEITHER a citation
# NOR a hedge, enumerated. UNEVIDENCED, never FALSE: many of these are certainly true.
# Scope of both citation and hedge is the containing BLOCK, so this is a FLOOR.
# columns: path:line-range <TAB> block-kind <TAB> sentence
corpus/services/TEMPLATE.md:13-13	bullet	**Database**: [Database] (e.g., Postgres, Redis)
corpus/services/academy-backend.md:30-31	bullet	**Primary Goal**: Be the server-authoritative owner of the AI Academy's content catalog and every learner's study state, served to the `ant-academy` frontend over the `app` GraphQL subgraph.
corpus/services/academy-backend.md:43-46	bullet	**Design invariant**: **additive-only** — every table is NEW with a child-side forward edge to `User`; the legacy `skillpath`/`assignment`/`user_*` schemas are untouched.
corpus/services/academy-backend.md:43-46	bullet	Per-user tables carry `UserMixin` (owner-only privacy; every read/write is self-only and fails closed for unauthenticated callers).
corpus/services/academy-backend.md:43-46	bullet	Catalog tables have NO `UserMixin` (global content); their gating is a manager/resolver concern.
corpus/services/academy-backend.md:50-51	bullet	**Codebase**: `app/internal/academy/`.
corpus/services/academy-backend.md:50-51	bullet	Go, inside the `app` (backend) service.
corpus/services/academy-backend.md:50-51	bullet	Persistence via Ent into the **`public`** Postgres schema (`academy_*` tables).
corpus/services/academy-backend.md:65-78	bullet	**Ent tables** (`internal/data/ent/schema/`, `public` schema): *   **Per-user (UserMixin, owner-only)** — ⚠️ **these are Ent LABELS; the TABLE names are plural** (Ent pluralizes, so `SELECT … FROM academy_certificate` errors with *relation does not exist*): `academy_chapter_progresses` (jsonb completed-modules/sections; `UNIQUE(user_id, chapter_slug)` — the hottest dataset), `academy_last_activities` (per-user singleton resume pointer), `academy_chapter_times` (completion/reinforcement active-seconds split), `academy_certificates` (immutable; `cert_id` unique `AAS-YYYY-XXXXXX`; nullable `learner_email` never public), `academy_bookmarks` (kind-discriminated; global `external_id` idempotency key), `academy_feedbacks` (one editable row per (user, scope, target)).
corpus/services/academy-backend.md:65-78	bullet	*   **Global catalog (no UserMixin):** `academy_series`, `academy_skill_paths` (`paid` default true — the tier lives here; nullable `tenant_eid`; `lifecycle`), `academy_chapters` (metadata; own `tenant_eid`), `academy_chapter_bodies` (one row per `(chapter_slug, locale)`; `body` jsonb = {meta, modules[], references[]}; EN base + de/es/fr/it/nl/pt overlays), `academy_path_embeddings` (pgvector `extensions.vector(1536)`, `source_hash` skip-key).
corpus/services/academy-backend.md:79-81	bullet	**Certificate minting** (`certificate.go`): id `AAS-YYYY-XXXXXX` (`AAS` = "Anthropos Academy Skill"), a 6-char suffix from a 30-symbol ambiguity-free alphabet via `crypto/rand`.
corpus/services/academy-backend.md:79-81	bullet	Public verify validates the id **before** any DB lookup and maps to a minimized PII-free struct (never `learner_email`; empty name → "AI Academy Learner").
corpus/services/academy-backend.md:103-104	bullet	**Background task**: the nightly Asynq **`academy_embedding_refresh` @ 03:00** materializes `academy_path_embeddings` (skip via `source_hash = sha256(model | embed_text)`).
corpus/services/academy-backend.md:141-141	bullet	**Service Name**: none of its own — part of the `backend` service (`docker compose up -d backend`).
corpus/services/academy-backend.md:148-152	paragraph	Unit tests use an **in-memory SQLite (`enttest`) harness** (`sqlite_test.go`) — the academy Manager is pure Ent, so no real Postgres is needed (the one Postgres-only feature, `SELECT … FOR UPDATE`, is `t.Skip`'d under SQLite).
corpus/services/academy-backend.md:148-152	paragraph	Notable: `certificate_mint_test.go` (cert-id contract over 500 mints + PII rejection); `entitlement_parity_test.go` (cross-repo parity with the FE `getEntitlement`/`serverTenant.js` gates); `merge_test.go`/`time_test.go`/ `progress_aggregate_test.go` (monotonic-merge + keep-max-by-event-time semantics).
corpus/services/ai-labs.md:3-9	paragraph	**Not a standalone service — a set of `app`-monolith domains** (the service the platform calls "backend").
corpus/services/ai-labs.md:3-9	paragraph	**There IS a separate repo, and this doc used to deny it** (v2.8 M257x): `anthropos-work/AI-Labs` is the live Go control plane the sections below already call **`labs-api`** — the thing behind `anthroposlabs.com` that owns the Firecracker microVM lifecycle.
corpus/services/ai-labs.md:3-9	paragraph	What is in `app` is the *consumer* half.
corpus/services/ai-labs.md:3-9	paragraph	Code lives under `app/internal/labs/`, `app/internal/credits/`, `app/internal/payments/`, `app/internal/subscriptions/`, plus the top-level `app/stripe/` fixtures.
corpus/services/ai-labs.md:25-26	paragraph	Two independent concerns absorbed into `app`, joined today only by a shared *reuse target* (the credit ledger), not yet by code:
corpus/services/ai-labs.md:28-33	bullet	A user launches an ephemeral cloud sandbox (a microVM running an in-VM coding agent — Claude Code or OpenAI "codex") to work a lab scenario, metered in **USD per session**.
corpus/services/ai-labs.md:28-33	bullet	`app` owns the **tenant-facing view** (catalog content + session identity/budget/status/billing record + org spend caps); a **separate control plane, `labs-api`**, owns the microVM lifecycle, the per-session LiteLLM virtual key, and the live spend numbers.
corpus/services/ai-labs.md:44-45	bullet	**Codebase**: `app/internal/{labs,credits,payments,subscriptions}/` + `app/stripe/` (fixtures).
corpus/services/ai-labs.md:44-45	bullet	Go, part of the `app` monolith.
corpus/services/ai-labs.md:44-45	bullet	DB: PostgreSQL, **`public` schema**, Ent + Atlas.
